epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.47906,5.09735,4.87406,4.25654,0,0,0,0,5.39487,4.89119,4.15923,0,0,0
2,10.6103,3.59738,4.85116,4.31361,0,0,0,0,5.39546,4.89098,4.15957,5.76358e-06,5.76358e-06,5.76358e-06
3,11.6219,5.16454,4.88784,4.25624,0,0,0,0,5.39605,4.89076,4.15989,1.12943e-05,1.12943e-05,1.12943e-05
4,12.6395,5.03733,4.87267,4.28157,0,0,0,0,5.39665,4.89052,4.16021,1.65922e-05,1.65922e-05,1.65922e-05
5,13.5722,6.21297,4.86844,4.22635,0,0,0,0,5.39723,4.89024,4.16051,2.16572e-05,2.16572e-05,2.16572e-05
6,14.5895,6.70897,4.87723,4.23972,0,0,0,0,5.39784,4.88988,4.16082,2.64894e-05,2.64894e-05,2.64894e-05
7,15.8349,3.26031,4.84996,4.30184,0,0,0,0,5.39836,4.88952,4.16109,3.10887e-05,3.10887e-05,3.10887e-05
8,16.7997,6.7408,4.87174,4.2519,0,0,0,0,5.39893,4.88909,4.16138,3.54552e-05,3.54552e-05,3.54552e-05
9,17.7174,5.76899,4.82939,4.20527,0,0,0,0,5.39952,4.88857,4.16166,3.95889e-05,3.95889e-05,3.95889e-05
10,18.7421,4.70946,4.83067,4.2839,0,0,0,0,5.40009,4.88798,4.1619,4.34897e-05,4.34897e-05,4.34897e-05
11,19.643,6.8636,4.88961,4.21533,0,0,0,0,5.40071,4.88725,4.16216,4.71576e-05,4.71576e-05,4.71576e-05
12,20.6329,4.47639,4.79956,4.27002,0,0,0,0,5.40125,4.8865,4.16237,5.05927e-05,5.05927e-05,5.05927e-05
13,21.8021,6.76663,4.86288,4.2255,0,0,0,0,5.40183,4.88562,4.16389,5.37949e-05,5.37949e-05,5.37949e-05
14,23.9639,4.19923,4.81092,4.30943,0,0,0,0,5.40243,4.88467,4.16421,5.67643e-05,5.67643e-05,5.67643e-05
15,26.8859,3.16789,4.76961,4.26652,0,0,0,0,5.40297,4.88366,4.16448,5.95009e-05,5.95009e-05,5.95009e-05
16,29.214,5.97264,4.78572,4.20954,0,0,0,0,5.40354,4.88244,4.16479,6.20046e-05,6.20046e-05,6.20046e-05
17,30.9338,5.56421,4.7609,4.19083,0,0,0,0,5.40411,4.88111,4.16506,6.42755e-05,6.42755e-05,6.42755e-05
18,33.6223,6.44045,4.81555,4.17647,0,0,0,0,5.40411,4.88111,4.16506,6.63135e-05,6.63135e-05,6.63135e-05
19,36.3387,5.41024,4.7755,4.21194,0,0,0,0,5.40534,4.87866,4.16568,6.81186e-05,6.81186e-05,6.81186e-05
20,38.8462,3.55672,4.74667,4.26386,0,0,0,0,5.40534,4.87866,4.16568,6.96909e-05,6.96909e-05,6.96909e-05
21,40.9729,4.37662,4.71346,4.28037,0,0,0,0,5.40662,4.87594,4.1663,7.10304e-05,7.10304e-05,7.10304e-05
22,43.3937,3.43159,4.70361,4.28471,0,0,0,0,5.40662,4.87594,4.1663,7.2137e-05,7.2137e-05,7.2137e-05
23,45.5997,4.87569,4.72679,4.2421,0,0,0,0,5.40776,4.873,4.16684,7.30108e-05,7.30108e-05,7.30108e-05
24,47.6333,6.66087,4.78139,4.18407,0,0,0,0,5.40776,4.873,4.16684,7.36517e-05,7.36517e-05,7.36517e-05
25,49.9392,6.77513,4.81498,4.18001,0,0,0,0,5.4091,4.86935,4.16743,7.40598e-05,7.40598e-05,7.40598e-05
26,51.9181,3.44675,4.68477,4.26645,0,0,0,0,5.4091,4.86935,4.16743,7.4235e-05,7.4235e-05,7.4235e-05
27,54.5828,3.18196,4.67613,4.27908,0,0,0,0,5.41017,4.86576,4.1679,7.41774e-05,7.41774e-05,7.41774e-05
28,56.8965,3.28849,4.72491,4.27281,0,0,0,0,5.41017,4.86576,4.1679,7.38869e-05,7.38869e-05,7.38869e-05
29,59.1007,5.65579,4.7055,4.16379,0,0,0,0,5.41125,4.8619,4.16834,7.33636e-05,7.33636e-05,7.33636e-05
30,61.2137,4.2788,4.68837,4.25147,0,0,0,0,5.41125,4.8619,4.16834,7.26074e-05,7.26074e-05,7.26074e-05
31,63.7056,5.5717,4.69806,4.17238,0,0,0,0,5.41241,4.85763,4.16878,7.16184e-05,7.16184e-05,7.16184e-05
32,65.8769,6.1356,4.66906,4.1449,0,0,0,0,5.41241,4.85763,4.16878,7.03965e-05,7.03965e-05,7.03965e-05
33,68.2747,5.21134,4.64567,4.20499,0,0,0,0,5.41358,4.85296,4.16918,6.89418e-05,6.89418e-05,6.89418e-05
34,69.8207,4.36892,4.60417,4.29555,0,0,0,0,5.41358,4.85296,4.16918,6.72543e-05,6.72543e-05,6.72543e-05
35,71.6378,3.52996,4.58849,4.30787,0,0,0,0,5.41468,4.8484,4.1695,6.53339e-05,6.53339e-05,6.53339e-05
36,73.3508,5.55028,4.64339,4.16393,0,0,0,0,5.41468,4.8484,4.1695,6.31806e-05,6.31806e-05,6.31806e-05
